source,rating,date,got_response,text
google,1,2025-03-13,true,"Terrible Experience – Wasted Hours for Nothing

Dropped off my car at Mavis for a full set of new tires, expecting a straightforward service. Instead, I got a frustrating runaround. After 45 minutes of waiting, they called to say they “forgot” to include the tire alignment in the quote—something their sales team apparently removes to make the price seem lower. I agreed to the alignment since they already had my car.

Then, an hour and a half later, they called again—this time to say they only had two of the four tires I needed. So after over three hours, they didn’t even bother installing the two they did have. Total waste of time.

Avoid this place if you want honest pricing and efficient service."
google,5,2025-03-13,true,Great customer service. Honest guys!! Fair pricing!
google,5,2025-03-08,true,Came in here and they told me exactly what was going on with my car and they were super helpful and friendly.
google,5,2025-03-08,true,Great experience!  Got my car fixed in no time! Great customer service!
google,5,2025-03-05,true,"Great service
Great price"
google,5,2025-03-05,true,Very nice
google,5,2025-03-05,true,Great work
google,5,2025-02-25,true,"easily the best, quickest, and kindest service I've received from any autoshop. they got me in very quickly for new tires and an oil change - i was in such a sudden bind with my flat tire and getting there was difficult, but they were more than accomodating with my arrival. helped me out big time. couponed me for the oil change too, pepboys messed up something with my last one which should have been a simple job for a shop to do lol. huge thank you to these guys."
google,5,2025-02-17,true,"Great, fast service"
google,5,2025-02-16,true,Fast service nice staff
google,5,2025-02-09,true,Pretty good service!
yelp,5,2025-02-02,true,"Hands down best Mavis I ever been too. They went above and beyond for me. They explained everything to me and did everything they could to make my stressful situation easier. Tom was dedicated to make sure I understood everything and very sweet. Gian was helpful and went above and beyond. I couldn't thank them all enough. Again, super stressful situation I was under however truly thankful it landed me at this mavis. I have now recommended everyone to them. And I will be a lifetime customer to them. THANK YOU ALL AGAIN!"
google,5,2025-01-25,true,"Very good job,  thanks"
google,5,2025-01-18,true,"I can't say enough about the Mavis on Route 70 in Lakewood!  From the moment I walked in, I felt like a valued customer. Gian, the store manager, was incredibly helpful and knowledgeable. He took the time to explain everything clearly and answer all my questions.
I was also impressed with the assistant managers, Jessica and Justin.  They were both friendly and professional, and they made sure I got the best possible service.  I needed new tires and they helped me choose the perfect ones for my car and driving habits.
The whole team at this Mavis location is top-notch! They're efficient, honest, and they truly care about their customers.  I highly recommend them for all your car care needs."
